text,stance
 ضحك على الذقون في الاول قالوا جرعتين من  اللقاح تحمي بعدين قالوا الجرعه ٣ تحمي واليوم يقولون لازم كل ٣ اشهر جرعه   السؤال كيف ستتم تطعيم ٧ مليار كل ٣ اشهر وماذا اذا ظهرت كل ٣ اشهر متحوره من كورونا ؟ هل يعطون الناس كل اسبوع جرعه جديده ؟ وهل سيتحم,Against
#بايدن جرب #تطعيم_كورونا من التالي ,Favor
  لو كان الموضوع كله مؤامرة ماسونيه   لماذا يتم تطعيم الاسرائليين حتى الجرعة الرابعة؟ واذكر حضرتك أن من قالوا ان ١١ سبتمبر كان مؤامرة قالوا  تم إبلاغ اليهود بعدم الذهاب إلى برجيي التجارة العالمية ذلك اليوم. فيكون المنطقي منع اللقاح ,Favor
بعد مرور يوم على تطعيم الجرعه الثانيه من لقاح فايزر صج تعب وارهاق وتكاسل وصداع وماكو نوم أعان الله الناس اللي عندهم #كورونا,Favor
حجزت موعد لقاح #كوفيد_19 🙏🙏🤍🦋 والحمدلله اني حجزت بدري وانتظر رسالة منهم ♥️♥️♥️  اللهم لك الحمد للامانه ضروري الجميع يسوي تطعيم بس ابعد عنك الخوف والقلق وكل أمرك بالله فقط 🤍🤍🤍🙏 حفاظاً على صحة الجميع شكرا وزارة الصحة شكرا بابا سلمان شكراً الشخصيه الاستثنائية توفيق الربيعة ,Favor
اسرائيل قامت بحملة تطعيم هل كانت لتحفيز دول المنطقة و هم ياخذون لقاح وهمي و عمل تمثيلية على العالم  كما فعلت الصين عندما كانت تصور الناس تسقط في الشارع ونشرت الذعر في العالم و جعلت الدول تغلق الاغلاق العام بينما الصين مصانعها لم تتوقف عن العمل == اسرائيل  ,Against
 يارجال مسويين حملات ضد تطعيم كورونا وانه وهم ماعاد وقفت على ذي,Favor
تم تطعيم اول جرعة للقاح كورونا بنجاح 🙏🏻💚 اللهم اجعل فيها الشفاء ✨   31-12-2020,Favor
MENTION MENTION واحد نعرفه ماخذ جرعتين والحين فيه كورونا وحاجر عمره....  ناس ماخذوا التطعيم ولله الحمد بخير وفي اللي خذوا تطعيم وتدهورت حالتهم,Against
MENTION MENTION التطعيمات السابقه مدروسه ومجربة  لكن تطعيم في يوم الليله يطلع لج لا والله مايصير مو حقل تجارب الناس ولا هم ضامنين نجاحه ولا انه يصد كورونا شنو الفايدة اخذتي ماخذتي نفس الشي راح تصابين فيه وتنقلينه بعدحالج حال اللي موماخذ,Against
#  انا عندي سؤال لوزارة الصحة  انا متعافي من كورونا الأصلي  ليش اخذ تطعيم فيه فيروس ضعيف ليحميني من مضاعفات الفيروس الأصلي!!!,Against
من يرفض أخذ تطعيم لقاح كورونا هل يمكن تصنيفه تحت المعتقدات الفكرية والمؤامرة الكونية أم الحرية الشخصية وهل ستفرض عليهم الدولة الغرامة المالية بعد أن استنفذت معهم جميع الحلول الممكنة لإقناعهم بأخذ تطعيم لقاح كورونا؟,None
 ولو مؤامره ليش جالسين يتنافسو ف تطعيم شعوبهم،،يعطو لقاح للدول الفقيره عشان يقل السكان😄,Favor
MENTION MENTION الأعراض طبيعي خصوصا استرازينكا أو أوكسفورد زيه زي اي لقاح في العالم واي تطعيم لازم أعراض جانبيه تختلف من شخص لشخص كام يوم وتروح,Favor
بفضل من الله ثم بفضل ما تقدمه حكومتنا الرشيدة من خدمات صحية جليلة للمواطن والمقيم   وحرصا منّا على صحة وسلامة زوارنا وموظفينا   تم تطعيم كامل فريق العمل في مفروشات المخمل بالجرعة الأولى من اللقاح المضاد لفيروس كورونا شكرا وزارة الصحة  #محصن_جرعة_اولى #خذ_الخطوة خذ اللقاح ,Favor
لا تتردد وبادر فورًا بأخذ تطعيم #كورونا من أجل أهلك ومجتمعك. #اللقاح_طريقنا_للتعافي,Favor
وأخيرًا خذت الجرعة التنشيطية .. الحمدلله 🙏🏼,Favor
MENTION تطعيم كورونا الجيني  لكن متنكر بالانفلونزا 😁😂 #لا_للتطعيم_الاجباري  #لن_امتثل,Against
 قسم بالله تطعيم الافلونزا بالمستوصف ابرك من لقاح كورونا.كله كذب استنزاف اموال الدول وحلبها.,Against
الحمدلله على نعمة تطعيم #كورونا فعلا نعمة تستحق الشكر #كندا اصبحت من الدول ذات النسبة العالية في تطعيم #الجرعة_الاولى شبه فاتحه بالكامل واوقفت قوانين الكمام والتباعد الجسدي. وقريبا تفتح السفر للسياح في شهر سبتمبر! والشعب الكندي ما ندم على التطعيم! واعتذر لكم مقدما عن آخر المقطع! URL,Favor
MENTION  اقولك نسبة الشفاء تتعدى ٩٩% وانت مصر تاخذ لقاح  مايعطي مناعة ضد الفايروس أصلاً  وفيه حالات كثيرة ومشهورين بعد اخذوا جرعتين وماتو الله يرحمهم  ..  لايوجد كورونا الان وفيه اصرار على الجرعة الثالثة وعلى تطعيم الأطفال الي نادر إصابتهم,Against
#لا_لربط_السفر_بالتطعيم حطيتوا حجر صحي ورضينا دفعتونا فلوس التحاليل ودفعنا سكنتونا فنادق لتنفيع التجار وسكنا الحين تغصبونا نطعم لقاح غصبن علينا مانقول إلا حسبنا الله والله لايوفق اللي يجبرنا على تطعيم من وباء نسبة الشفاء منه عالية وممكن الواحد يموت منه مو من كورونا. #الكويت,Against
الحمدلله حمداً كثيرا ومجهود #وزارة_الصحة مؤخراً واضح بزيادة سرعة التطعيم ضد #كورونا ومما نتج عنه نزول عدد الحالات. نرجو نشر الاحصائيات إسبوعيا. وهدفنا يكون تطعيم كل السكان لمحاربة أي موجه مستقبلية وخصوصاً مع دخول موسم الفيروسات الموسمية والمدارس حضورياً MENTION MENTION URL,Favor
MENTION ليش مافيه تطعيم اجباري على الانفلونزا الموسميه مع العلم ان اللذين يموتون منه اكثر من اللي ماتو من كورونا 😐,Against
MENTION MENTION التطعيم مهم يا جماعة.. مبارح بالمستشفى الدكتور المسؤول عن قسم كورونا حكى كل الحالات المسجلة اصابات مش ماخدة تطعيم وبحمد ربنا ما حدا مسجل اصابة من الناس اللي أخدت تطعيم. هو وقاية.يعني لاسمح الله لو تمت الاصابة بالكورونا وانت ماخد تطعيم بتكون الأعراض خفيفة جدا وبالغالب من دون أعراض,Favor
#لا_للتطعيم_الاجباري من حقي الدفاع عن جسدي ضد اكبر تجربة بشرية قاتلة    كذبة كورونا والفيلم الهندي انعمل فقط لأجل اخذ اللقاح .. تطعيم تحت بند الطوارئ كيف ينفرض علينا اجباريا ؟؟!,Against
#تطعيم_كورونا  انا مش هتطعم وقرار تطعيم الولاد في الجامعات اجباري علي جثتي 😡 موتوا مناعه الشباب وموتونا معاهم وحسبي الله ونعم الوكيل,Against
#صباح_الخير 🌻  #تطعيم_كورونا اليوم للجرعة الأولى والحافظ الله.   تنظيم جبّار   #شكرا_وزارة_الصحة ,Favor
توفي ٣ مسنين ثبتت إصابتهم بكورونا  من النوع الجنوب أفريقي أو البرازيلي تم تطعيم اثنين منهم بجرعتين فايزر تقول دراسات ان اللقاح قد لايكون فعال جدا ضد المتحور الافريقي والبرازيلي 😗 المتوفين كانوا مصابين بأمراض أخرى كحال اكثر وفيات كورونا وقضت عليهم كورونا  ,None
MENTION MENTION تطعيم كورونا يجب يكون اجباري لانه المرض خطير وفتاك ويهدد حياة الشعب فلازم الاجبار,Favor
MENTION MENTION MENTION لو كان فعال لحماك بعد الله مثل تطعيم الجدري والحصبا وغيرها لاكن تطعيم غير فعال ما الهدف منه انا ابغا انسان فاهم يجاوب لايقول يخفف اعراض كورونا فيه ناس طعمت مرتين وماتت,Against
#مجرد_سؤال للشركة المصنعة للقاح المصنع ضد مرض #كورونا  - هل تم تطعيم العاملين في الشركة المصنعة قبل نشر اللقاح في الأسواق العالمية ؟,None
لأني اؤمن باهمية التطعيم و مأمونيتة اللقاح  ساتوجه غدا لاخذ اول جرعة من #تطعيم_كورونا URL,Favor
الحمد لله تطعيم كورونا الجرعه الاولي استرزينكا شكرا مملكه الانسانيه 🇸🇦🇪🇬 ,Favor
 تطعيم صار إجباري بأغلب الدول خلاص دعاية أنه اختياري بس بتلفزيون لكن واقع شي ثاني ماكو سفر ولا شغل ولا دوام ولاسينما إذا كنت مو طاق إبرة تطعيم تدري ناس خذو تطعيم مرتين وصار فيهم كورونا وناس خذو بعمر كبير ما تحملو وماتو إلى الآن لقاحات غير آم,Against
الفاكسين الصيني ..تطعيم كورونا  ثمانية أيام مرت على أخذالتطعيم والحمد لله كل أموري بخير ..لاتخافوا ولا تستمعوا للأشاعات المغرضه..,Favor
 أولا كورونا مش كذبه ثانيا العالم قد قطع مشوار كبير جدا في محاربة هذا الوباء وبدأت الدول الكبرى في تخفيف الإجراءات بعد تعديها المستوى المطلوب من تطعيم المواطنين لديها,Favor
  جم مره يوضحون الدكاتره وحفظناه صم 😁 هذا لقاح لفايروس خامل حاله حال أي تطعيم اخذناه .. وبمجرد يدخل بالجسم بعدها ينتهي ويختفي ويعطي مناعه للجسم مع الوقت .. مافي شي اسمه على المدى البعيد 😬لكن التجارب هدفها  لاختبار فاعليته لجمي,Favor
الهند كانت من أكثر الدول استقراراً في عدد الاصابات بفيروس كورونا بل وصلت إلى أدنى مستوياتها، ثم في ١٢/١ قامت بأكبر حملة تطعيم في العالم. والآن الأخبار تقول أن موجة قوية من الإصابات بالفيروس اجتاحتها. وهذا كله بعد فترة قصيرة من حملة التطعيم. شاهدوا التواريخ في الصور ,Against
يتهمون وطنيتنا لرفضنا اللقاح خوفاً من عواقبه مع تقديرنا للوطن. طيب فلنرى احترامكم لوطنكم إذا ثبت أن كلامنا صحيح.  #لا_للتطعيم_الاجباري186 #لا_للتطعيم_الاجباري187 #لا_للتطعيم_الاجباري188 #متضرري_اللقاح #كورونا  #تطعيم_الأطفال_جريمة #لا_لتطعيم_الأطفال #خذ_الخطوة_بلغ_عن_أضرار_اللقاح,Against
  مشش سعيده ابدا بالفرض اللي تتكلمون  عليه  تحقنون بنتي بماده تم رفضها من الربيعه ذات نفسه  تطعيم كورونا ثلاث جرعات اجباريه  والان الورم اللوحيمي بدون علمي لا انا ولا ابوهاا وتقولون حقوق طفل وش حقوقه وانتم تطعمونه بدون علم ولي امره و,Against
 في سباق مع الزمن .. #السعودية تتخطى حاجز 3 ملايين جرعة من #لقاح_كورونا  تم تقديمها للمواطنين والمقيمين على أرضها ، ولازالت الحملة مستمرة على أمل تطعيم اكبر عدد ممكن و الحصول على المناعة المجتمعية بإذن الله ، وانتهاء هذا الوباء . #كورونا ((منقول)),None
MENTION تطعيم كورونا اختياري ✅  #لا_للتطعيم_الاجباري #نرفض_التطعيم_الاجباري #نرفض_اللقاح_الإجباري #كفي_عبثا_بعزل_الكويت_عن_العالم URL,Against
  تبون خلاصة الكلام مع الحريم   ( اجعلوا  تطعيم كورونا شرط لدخول المولات ) وسوف تشوفونهم يتسابقون على التطعيم,Favor
اصرار الدولة على تطعيم  الناس ضد كورونا يثير الشك  فى نفوسنا . من امتى  حياة الناس ليها قيمة عندهم  ؟ من امتى الحرص على التطعيمات ؟ الموضوع محفوف بالمخاطر وطالما فيه ناس خايفة  يجب احترام ارادة الناس دى حياتهم وكل واحد يموت  بمزاجه     ,Against
لكل من سأل عن إمكانية  تلقي الجرعة الثانية بعد الأخبار المتداولة عن تطعيم أوكسفورد/استرازانيكا    🛑 توصيات بريطانية 🇬🇧 من تلقى الجرعة الأولى من لقاح أوكسفورد دون أي أعراض خطيرة، يتلقى الثانية من نفس اللقاح دون خوف ..     ,Favor
مبدأ الاستقلال الذاتي autonomy ينص على أن الفرد العاقل  هو كائن مكتفي بذاته وله القدرة على صنع قراره بنفسه..  الزامية #تطعيم_كورونا في الدولة وتقييد حركة غير المتطعمين اشارة للإخلال بهذا المبدأ الرئيسي  من الأخلاق الطبية في ممارسة الطب الحديث,Against
#شكراً_أبطال_الصحة على الجهود الجبارة والروح الطيبة وحفاوة الترحيب   #تطعيم_كورونا كأنك ضيف في بيتهم  الله يجزاهم كل خير ويعز حكومتنا الرشيدة على كل الخدمات والتسهيلات المقدمة لكل مواطن ومقيم.,Favor
كورونا فيروس قاتل 👾 🤲ورغم بعض التخبطات بالبداية إلا أننا أنتصرنا عليه والحمدلله 👨🏻‍🔬 ووزارة الصحة حددت إما تطعيم حتى لو كان واحد وإلا مسحات أسبوعية 🤷🏻‍♂️ صحيح في معاناة وزحمة ولكن صحة ابناءنا والمجتمع ككل أهم ‼️  فـلا تـستمعوا للـشائعات والاقاويل,Favor
 للأسف الشائعات أضرت بكثير من المواطنين بالوقت الحالي .. لتأثرهم بالرسائل التي تتطرق الى تطعيم كورونا وأنه مضر .. بينما قد يتسبب في وفاة شخص مسن أو لديه مشكلة صحية لعدم أخذه التطعيم .. متأثراً بالشائعات التي ليس لها مصدر حقيقي !!,Favor
MENTION وانا بعد الف حمد وشكر لله صابتني كورونا من اسبوعين خلصت وكانت خفيفة كانها برد خفيف ومو متطعمه ولا تطعيم 😇,Against
 أنا المناعة عندى كانت الحمدلله قوية والبرد يجيلى فى الشتاء من ٢ ل ٣ مرات لحد رمضان اللى فات جاتلى كورونا واخدت ٣ جرعات اللقاح والبرد مش سايبنى تقريبا بس لو تطعيم الانفلونزا ممكن يحل الموضوع كده اجربه ان شاء الله,Against
MENTION MENTION اغلب الناس من بعد كورونا بدت تستوعب انه خلقه ربي ومناعة الانسان اقوى من اي تطعيم,Against
 ليش عاد فيه احد يتطعم من كوفيد-19.. خلاص العالم وقف تطعيم. و الدول فتحت حدودها و لم تعد تطلب حتى شهادة تلقيح او فحص كورونا..,Against
 الحل تطعيم لقاح كافة الشعب والوافدين واللي يدخل السلطنة لازم يكون تم تطعيمه مسبقا,Favor
 انا لو ادري باخذ تطعيم وبعدها تسوون عليهم حظر اقسم بالله مااخذه شنو فايده اخذ لقاح وبعدها حاكرنا بالبيت ؟ دمرتنا وتعبت نفسياتنا اقسم بالله,None
#لا_للتطعيم_الاجباري80  يحق لك الضمان على السيارة او الأجهزة عند الشراء  ولكن لا يحق لك الضمان عند تلقي تطعيم لجسدك بكل لقاحات كورونا الحالية والجديدة  بل المسؤولية بالكامل على متلقي اللقاح  وتخلي الشركات المصنعة مسؤوليتها تماما!!!!,Against
#لا_للتطعيم_الاجباري  ##لا_لتطعيم_الأطفال   #الجرعة_التنشيطية  لا والف لا URL,Against
      لقاح كورونا ما بيمنع المرض سوزي متله متل اي تطعيم تاني. بس المرض بكون أخف,Favor
 مع مرور الأيام بدأنا نكتشف أن كورونا عبارة عن مشروع تجاري للدول الكبرى.. يوم حبوب و يوم تطعيم و الله أعلم الأيام القادمة تحاميل ..,Against
  متأكد تطعيم شلل الأطفال اللي ما أخذته هو السبب في حالة خالتك ربي يشفيها !؟ انت شوف اللي ما أخذ وما صار فيه شي   الصراحة بعد كورونا ثقتي في اللقاحات زيرو من الألف للياء,Against
MENTION اولا واخيرا   نحمد الله على عودة الحياة لطبيعتها ونشكر ايضا القيادة العظيمة على كل ما بذلت من حماية المواطن والمقيم بعد الله وكل من ساهم في تطعيم ضد كورونا وكل الشكر للأبطال الذين ساهموا ايضا وكان الجزء الكبير في تطعيم ضد كورونا,Favor
 عندكم تطعيم كورونا الكبار الجرعه الثالثه ولا لا,None
المتخصصين اللي رأيهم في تطعيم كورونا أنه مش ولابد، ممكن تفهمونا ليه ولكم الشكر #وزاره_الصحه  #كورونا,None
طيب يامتحدث الصحه لماذا لم تاخذ تطعيم كورونا,Against
#تطعيم_كورونا  لحماية نفسك وعائلتك ومجتمعك  خذ اللقاح وسجل الآن عبر تطبيق صحتي.         ,Favor
     يعني اخذت تطعيمات من ولادتك الى عمر 6 سنوات ووتاخذ تطعيم الحمى الشوكية اذا حجيت وتاخذ علاجات وابر ومغذيات والان ماتبي تاخذ تطعيم كورونا 😁 وش تحس بوه؟,Favor
MENTION MENTION نعيد ونزيد تطعيماتنا تختلف عن تطعيم  كورونا قد سمعتي باحد تطعم ضد الجدري وانصاب فيه بينما اللقاحات لكورونا تطعمي من هنا تنصابي من هنا,Against
يعني جرعتين تطعيم وجرعه تنشيطيه وبرضو ناس بتجيلها كورونا هو في ايه!!!!!!,Against
الحمدلله رب العالمين الجرعة الأولى من تطعيم كورونا #أسترازينكا ,Favor
MENTION الموضوع أبسط من ماهو عليه الله أعطانا مناعة اقوى وأفضل من مية مليون تطعيم يجب علينا دعمها وتقويتها بالاكل الصحي والرياضة والأعشاب والتنفس وهذيك الساعة كورونا ماراح تأثر عليك ابدا ابدا باذن الله,Against
إحدى موظفات الطاقم الطبي في ألاسكا الأمريكية  تعرضت لحالة حساسية غريبة في ملامح وجهها بعد أن أخذت تطعيم فريزر ضد كورونا ,Against
 اعرف واحد اخذ المصل بعدها ب 18 يوم جاتله كورونا..يا جدعان عايزين يقللوا عدد سكان الارض والكلام ده قايلينه من 2015,Against
 وحده امس اقولها بحجز لموعد تطعيم قالت ترى بعد سنتين بتتحولون زومبي او تموتون بعد شهرين لان كورونا جابوها في الافلام بعد وصارت 😂😂,None
لله الحمد تم تطعيم الجرعة الثالثة التنشيطيه وزيادة حقنة الانفلونزا الموسمية..( الوقاية خيرمن العلاج) ...دع عنك الكلام وتوكل على الحى الذى لايموت ! !,Favor
يعدي بس الـ ٦ شهور .. وكل البيت هخليهم ياخدوا تطعيم كورونا تاني 🤭 والبداية أنا  آخر شهر ٧ ان شاء الله 😈 ,Favor
URL من يعتقد أن من تعافى من مرض كوفيد-19 لا يحتاج إلى تطعيم. فالمناعة التي يطوّرها الجسم بعد الإصابة بفيروس كورونا ما هي إلا مؤقتة ولابد من تعزيزها بالتطعيم..,Favor
معلومه مش مهمه خالص بس النهارده اخدت اول جرعه تطعيم كورونا,None
طلع #فيروس_كورونا   كذب     تجارة حتي يبيعون تطعيم جديد لنا وللعالم.,Against
اللي يعرف بالله عليكم توا حد شاف النسخة الإلكترونية بتاع تطعيم كورونا في منظومة مكافحة الأمراض لقا غلط في اسمه بالإنجليزي و تاريخ الميلاد كيف يقدر يصلحه ولا شن الحل لأن مسافر بره وتفاصيل هذينا يركزوا فيهن ولا شن يصير,None
وأخيرًا خذت الجرعة التنشيطية .. الحمدلله 🙏🏼 URL,Favor
فكرة التطعيم بتاع كورونا انا مش مرتاح لها  مش قادر اثق ف الدوله ف حتة انها تديك تطعيم ببلاش  و كمان تشجعك عليه و تفرضه ع بعض موظفي الدوله,Against
مو ملاحظين ان الحالات بازياد   من بدت الناس تاخذ تطعيم كورونا !!!  شسالفة 🤔🤔🤔🤔,Against
   عزيزي تقدر تبحث الحين من اي موقع لاي وزارة صحة بالعالم 80% من الدول المجاورة والغير مجاورة الغت جميع قيود كورونا بدون ماتوصل حتى الى نسبة 70% بالتطعيم ابسط مثال الكويت جنبك الغت كامل القيود ورجعت الحياة طبيعية بعد مطالبات الشع,Favor
MENTION أخذها وناخوك   لان كما سمعنا قبل فترة ان الجميع راح ياخذ الجرعة التنشيطية الثالثة لتزيد مناعتك  وبعدها راح تكون الجرعات تعطى مرة واحدة بالسنة ليصبح حالها حال جرعة الانفلونزا الموسمية التي ناخذها مرة واحدة كل سنة!!,Favor
سؤال الحين إذا جتني كورونا مرتين لازم بعد تطعيم ولا خلاص تكون صارت عندي مناعة حسبي الله عالصين 🤒,None
#لقاح_كورونا  #السفر_الدولي لم نعهد في يوم من الأيام على مستوى العالم أن مُنع انسان من السفر بسبب عدم رغبته في تطعيم أو دواء  أو لقاح من يُمنع من السفر يكون بحكم قضائي أو بقرار وزاري من جهة مخوّلة بذلك والأغلب ممن يتم منعهم مُدانون بقضايا أو مُطالبون  فلما التعسّف ؟  فقط,None
MENTION صح مافيه تطعيم له 👍👏  البعض صادته كورونا مرتين وحتى وهو ماخذ اللقاح   الله المستعان,Against
MENTION والله يا أم خليفة لنا الحق رفض #تطعيم_كورونا لأنه هذه أجسادنا وليست أجسادهم!! مشكلة تسرب #كورونا ليس لنا دخل فيها... يحلوها من عندهم  انا #ضد_التطعيم_الاجباري,Against
اللهم انفع فيه ورفع عنا هذا الوباء والبلاء 🤲🏼 #تطعيم_كورونا,Favor
  زين وين اسرة المستشفيات عن هالمجاميع البشرية لا تباعد ولا تطعيم ولاشي ما شفناهم مسدحين بالشوارع من المرض ما فيهم الا العافيه مرض نسبة الشفاء منه اكثر من ٩٠٪ وبدون لقاح ,Against
ليش ما قلتوا هالشي من زمان ؟ لمن الناس اخذوا التطعيم الحين صرحتوا بهالشي !؟  امراض اكثر وحشية من كورونا ما تحتاح البشرية تطعيم سنوي ضدها شمعنى كورونا ؟ URL,Against
 أيه على أساس أنه تم تطعيم المحطات بلقاح #فايزر ضد فيروس #كورونا 3 مرات😂😂😂  شقاعد يقول الرئيس ؟ واضح أن المستجوبين المحترمين عروا أدائه وفشل إدارته وقعد يخبص بالردود  هذا اللي ناقص انقطاع الكهرباء والماء 😂 #إرحل,Against
MENTION MENTION لما جتني كورونا حمدلله شفتها اعراض نزله برد قادره على مقاومتها ف ليش احط لنفسي تطعيم يقيني من مرض انا بحول الله قدرت عليه !,Against
🇸🇦 مـﻧـــ الخاصــ 📩 السلام عليكم ورحمة الله وبركاته مساء الخير هل يوجد حجز تطعيم لقاح كورونا في مركز جامعة طيبة في الليل.,None
بفكر أطعم ... بس لسه خايفه ومتردده #تطعيم_كورونا,None
كورونا كانت حتبقي اسهل من تطعيم كرونا #AstraZeneca,Against
#الحمدلله من قبل ومن بعد تم تطعيم #الجرعه_الثالثه ونسأل #الله العافيه والسلامه  #نعم_للتطعيم 👍🏻 #كورونا URL,Favor
MENTION MENTION MENTION وانت من طفل إلى سنة سادس تأخذ تطعيمات وش اللي فرق عن تطعيم كورونا؟,Favor
MENTION MENTION MENTION و فيروس كورونا خطير و قاتل و تسبب في الوباء و الطريقه الوحيده للسيطره عليه باللقاح و حاليا تم تطعيم مليار و ٧٥٠مليون من العالم,Favor
لماذا كنا نحذر من تطعيم كورونا الإجباري  ليش لانه مضر مع احتمال وفاة او اعراض جانبية شديدة بل لانه بوابة لجرعات وتطعيمات أخرى لاتقف مابعد لقاح كورونا والورم الحليمي تفضلو الهبد الجديد  لقاح((غير متلاشية))الخربوطي URL,Against
هذا الدراسه العالميه الحديثه التي تعاون و شارك فيها (قسم الجراحه) استنتجت ان حالات الوفاة بعد العمليات الجراحيه اقل في المرضى الذين تم اخذهم #تطعيم_كورونا. ,Favor
اتوجه بالشكر والامتنان الى حكومتنا الرشيده والى وزارة الصحة على الجهود والتميز في تقديم خدمة تطعيم لقاح كورونا 19   ,Favor
بعد التطعيم للحماية من كورونا  نحتاج تطعيم للحماية من سواقة بعض السيدات الفاضلات  وانا اول متبرع لتجربة التطعيم🌷🌷🌷,None
#احقنها_وتوكل #تطعيم_كورونا  صديق جيب واحد رابط تطعيم 🏃🏻‍♂️,Favor
#لا_للتطعيم_الاجباري45  ياناس  مانبي تطعيم😣 مانبي تطعيم😣 مانبي تطعيم😣  تجينا كورونا أهون من التطعيم مافيه شي بالغصب هذي اجسادنا مايملكها احد غيرنا ليه تجبرونا 😩,Against
انا لو يخيروني اخذ التطعيم عشان اسافر ولا اتم قاعد بديرتي ... بتم بديرتي ولا اخذه ... و اذا الديرة شرطت علي اخذه فرض ... بطلع لجوء ✌️... #الكويت #تطعيم_كورونا #كورونا,Against
 وهل تمت دراسة آثار تطعيم كورونا كما تمت دراسة آثار تطعيم الحصبة!!! بل بالعكس  تطعيم الحصبة يساعد على عدم اصابتك بالمرض بمشيئة الله لكن تطعيمة الكورونا لا تمنع.   شخصيا انا محصن لكن لا انتقد من يمنع نفسه واهله من اخذها.,Against
MENTION اي تطعيم من الان وصاعد تطعيم مشبوه محد يثق بالصحة كلها خداع ومرض   انعدمت الثقة وبنقوي مناعتنا بمعرفتنا الله لا يحيجنا لكم. وعلى اساس تطعيم الانفلونزا هو غير تطعيم كورونا 😂 هو واحد بس المسمى غير 👏عشان الثقة صح؟,Against
انصح جميع المواطنين بالتأهب لاخذ تطعيم كورونا جميع التجديدات للجوازات والبطاقه وزيارة مكه والمدينه لن يتم الا اذا كان عندك بطاقة تطعيم كورونا نصف عيلتي طعمت مابين كبار السن وانا حجزت امس ان شاءالله لأطعم فالدوله دائما تسعى الى كل مافيه الخير لمواطنيها ومقيميها,Favor
يداً بيد لمجتمع آمن حمايةً لنفسي وأهلي ومجتمعي الحمدلله تلقيت التطعيم الخاص ضد فايروس كورونا يوم أمس سعدت أن أكون ومنذ البداية ضمن أكبر حملة تطعيم في تاريخ دولة الكويت كمنظم وأيضا كمتلقي للمطعوم 💉🦠🇰🇼 بعد ٢١ يوم باذن الله تعالى موعد الجرعة الثانية الختامية 💉🦠✅ #تطعيم_كورونا ,Favor
  والله ماهو مدح وتطبيل على قولتهم😄 لكن التنظيم اللي بالسعوديه بكل حدث تطعيم والا فحص والا غيرها من الفعاليات تنظيم جبار يكفينا فخر اننا ننظم سنوياً ٣ مليون حاج بكل فخر واعتزاز  اصبحنا مضرب مثل  بالتنظيم 👍🏼 كان عندي موعد مسحه كورونا شف,Favor
#تطعيم_كورونا تم اليوم التطعيم وبدون ألم أو مضاعفات ولله الحمد,Favor
  ترا تطعيم ضد كورونا مو ضد الدين والصفات الحسنة,None
رسميًا صرت ملكة حجوزات تطعيم كورونا اتوقع باقي القطوه الي بالشارع م حجزت لها ههه,Favor
كأنه من مضاعفات تطعيم كورونا  انه نبطل نعرف ندرس🙄,None
 قلنا بأن كل الهلع والترويع الذي تنشره وسايل الاعلام عن كورونا ومتحوراتها هدفها تطعيم اكبر عدد ممكن من البشر باللقاحات التي تنتجها شركات الادوية والتي تتاجر على حساب صحة البشر.!,Against
بسم الله الرحمن الرحيم الحمد لله حمدا كثيرا طيبا   اما بعد .. اخيرا محصن 😎🥳✅  #تطعيم_كورونا ,Favor
MENTION MENTION هههههههه وانا اعرف العشرات من اخذي الجرعتين ماتو بسبب كورونا ولا فادهم لا تطعيم ولابطيخ ...والعناية مليانة متطعمين...اقول ...نامي احسن,Against
بشراكم يا أهل الامارات الحمد لله أنهينا تطعيم أكثر من 90% من السكان بالجرعة الاولي من اللقاح المضاد لفيروس كورونا و مستمرين فى طريقنا للقضاء علي هذه الجائحة تماماً 😍🙌,Favor
MENTION يقولك تنشيطية ثالثة كافية  وبعد سنة بتطلع أخبار عن الرابعة وتشوفهم يقولون أثبتت الدراسات أن الجرعة التنشيطية الرابعة تحمي أصحاب الأمراض المزمنة وذوي المناعة الضعيفة 😜 URL,Against
أخبار مبشرة بعد تطعيم ٥٣٪ من السكان بجرعتين من لقاح كوفيد-١٩، غياب الوفيات بالمرض لليوم الثاني على التوالي ,Favor
"""  تلقيت اليوم الجرعة الأولى من اللقاح المضاد لفيروس #كورونا الله ينفع بها يارب والف شكر لحكومتنا الرشيده 🇸🇦  شكرًا #وزارة_الصحه على التنظيم الرائع    وكذالك الشكر موصول لجميع العاملين في مركز تطعيم اللقاح بفندق الهيلتون بمدينة #الرياض",Favor
جائحة كوفيد الآن أصبحت : 🛑جائحة كوفيد لغير المطعمين  ( دخول مستشفيات   عنايات مركزة  ووفيات) وذلك بنسبة عالية جداً.  المجادلة تضييع فرص النجاة من هذه الجائحة. سارعوا بالتطعيم لكم ولأسركم و لمن تحبون. #تطعيم_كورونا #جائحة_كورونا_لغير_المطعمين,Favor
😒😒 وش يحسون فيه ؟ وزارتين تتفق ع تطعيم اطفال والمشكلة اعراض كورونا للاطفال خفيفة ماتدخلهم مستشفى حراره وزكام وصداع يومين ثلاث ويصحى ليش التطعيم 🤷🏻‍♀️ #لا_للتطعيم_الاجباري52 URL,Against
 اذكر لما كنا صغار قبل نسجل بالمدرسه اخذنا تطعيم .. الاعراض اللي صارت بعده هي نفس الاعراض اللي جتني بعد لقاح استرازنيكا .. مادري ليش هاللغط كله,Favor
